03-02 11:43:01.669 (I) Starting SimpaticoApplication on Smarts-MacBook-Pro.local with PID 27873 (/Users/raman/Documents/Work/SO/platform/smartcampus-vas/simpatico-adaptation-engines/target/classes started by raman in /Users/raman/Documents/Work/SO/platform/smartcampus-vas/simpatico-adaptation-engines)  [restartedMain e.s.a.SimpaticoApplication]
03-02 11:43:01.669 (I) No active profile set, falling back to default profiles: default  [restartedMain e.s.a.SimpaticoApplication]
03-02 11:43:01.672 (I) Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7074f72e: startup date [Fri Feb 03 11:43:01 CET 2017]; root of context hierarchy  [restartedMain o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext]
03-02 11:43:02.778 (I) Tomcat initialized with port(s): 8080 (http)  [restartedMain o.s.b.c.e.t.TomcatEmbeddedServletContainer]
03-02 11:43:02.785 (I) Root WebApplicationContext: initialization completed in 1113 ms  [localhost-startStop-1 o.s.w.c.ContextLoader]
03-02 11:43:02.855 (I) Mapping filter: 'characterEncodingFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 11:43:02.855 (I) Mapping filter: 'hiddenHttpMethodFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 11:43:02.856 (I) Mapping filter: 'httpPutFormContentFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 11:43:02.856 (I) Mapping filter: 'requestContextFilter' to: [/*]  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 11:43:02.856 (I) Filter characterEncodingFilter was not registered (possibly already registered?)  [localhost-startStop-1 o.s.b.c.e.FilterRegistrationBean]
03-02 11:43:02.856 (I) Mapping servlet: 'dispatcherServlet' to [/]  [localhost-startStop-1 o.s.b.c.e.ServletRegistrationBean]
03-02 11:43:02.970 (I) Mapped "{[/tae/webdemo || /tae]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.taeDashboard()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.970 (I) Mapped "{[/wae/webdemo || /wae]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.waeDemo()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
03-02 11:43:02.970 (I) Mapped "{[/wae/webdemo/logincallback]}" onto public java.lang.String eu.simpaticoproject.adaptation.common.controller.DemoController.login()  [restartedMain o.s.w.s.m.m.a.RequestMappingHandlerMapping]
